ID	ESA2008	ESA2009	ESA2010	ESA2011	ESA2012	ESA2013	ESA2014	ESA2015	ESA2016	ESA2017	ESA2018	ESACount	EuroGamer	GamesRadar	Guardien	IGN	MetaCritic	Polygon	TIME	CriticCount	TotalCitationsCount	DigitalGame	Year	YearInterval	Series	Mode	SpatialDimensionality	Platformscount	Protagonist	MainPC	PCTYPE	CharacterPrespective	Narrative	DigitalGameMainGenre	DigitalGameSecondaryGenre	DigitalGameThirdGenre	DigitalGameGenreOTHER	P2_B_MentalHelthRelatedContent	P2_C1_playersOpinionNegativeOpinion	P2_C2_playersOpinionNeutralOpinion	P2_C3_playersOpinionPositiveOpinion	P2_D1_scientificEvidenceNegative	P2_D2_scientificEvidenceNeutral	P2_D3_scientificEvidencePositive	P1_MentalHelthRelatedContent	P1_A1_neuroDevelopmentalDisorders	P1_A2_schizophreniaSpectrumAndOtherPsychoticDisorders	P1_A3_bipolarDisorderAndOtherRelatedDisorders	P1_A4_depressiveDisorders	P1_A5_anxietyDisorders	P1_A6_obsessiveCompulsiveDisordersAndRelatedDisorders	P1_A7_postTraumati	P1_A8_postTraumaticStressAndOtherStressRelatedDisorders	P1_A9_somaticSymptomsDisordersAndOtherRelatedDisorders	P1_A10_eatingDisorders	P1_A11_eliminationDisorders	P1_A12_sleepWakeDisorders	P1_A13_sexualDisorders	P1_A14_genderDysphoria	P1_A15_disruptiveImpulseControlAndConductDisorders	P1_A16_substanceRelatedAndAddictiveDisorders	P1_A17_neurocognitiveDisorders	P1_A18_personalityDisorders	P1_A19_paraphilicDisorders	P1_A20_otherMentalDisorders	P1_COUNTDisorders
382	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	3	4	"GodofWar"	2018	"2015-2019"	"GodofWar"	"1"	"3"	1	"Kratos"	"Kratos"	3	3	1	"ActionAdventure"	" "	" "	" "	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
383	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"MaddenNFL19"	2018	"2015-2019"	"MaddenFootball"	"3"	"3"		"0"	"NFLPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"Marvel��sSpider-Man"	2018	"2015-2019"	"Spider-Man"	"1"	"3"	2	"Spider-Man"	"Spider-Man"	3	3	1	"ActionAdventure"	" "	" "	" "	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
385	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	"MonsterHunter:World"	2018	"2015-2019"	"MonsterHunter"	"3"	"3"	3	"Customizable"	"Customizable"	1	3	1	"RPG"	"Action"	" "	" "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"NBA2K19"	2018	"2015-2019"	"NBA2KBasketball"	"3"	"3"	6	"0"	"NBAPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	2	3	"RedDeadRedemptionII"	2018	"2015-2019"	"RedDeadRedemption"	"3"	"3"	4	"ArthurMorgan"	"ArthurMorgan"	3	3	1	"ActionAdventure"	" "	" "	" "	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	8
388	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	"SuperSmashBros.Ultimate"	2018	"2015-2019"	"SuperMario"	"3"	"3"	1	"0"	"Multiple"	3	4	0	"Fighting"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
389	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	"WIIFIT"	2018	"2015-2019"	"Mii"	"3"	"3"	1	"0"	"Customizable"	1	5	0	"Exergaming"	" "	" "	" "	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"Assassin’sCreed:Origins"	2017	"2015-2019"	"Assasin'sCreed"	"1"	"3"	3	"BayekofSiwa"	"BayekofSiwa"	3	3	1	"RPG"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	8
358	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	"CallofDuty:WWII"	2017	"2015-2019"	"CallofDuty"	"3"	"3"	3	"Ronald\"Red\"Daniels"	"Ronald\"Red\"Daniels"	3	1	1	"FirstPersonShooter"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
359	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"Destiny2"	2017	"2015-2019"	"Destiny"	"2"	"3"	6	"Guardians"	"Multiple"	2	3	1	"FirstPersonShooter"	" "	" "	" "	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"Divinity:OriginalSinII"	2017	"2015-2019"	"Divinity"	"3"	"3"	5	"PlayerCharacter"	"Customizable"	1	3	1	"RPG"	" "	" "	" "	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
361	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"Fifa18"	2017	"2015-2019"	"FIFA"	"3"	"3"	6	"AlexHunter"	"Multiple"	5	2	1	"Sports"	" "	" "	" "	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"ForHonor"	2017	"2015-2019"	"0"	"3"	"3"	3	"TheWarden"	"TheWarden"	3	3	0	"ActionAdventure"	"Fightinging"	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	"Fortnite"	2017	"2015-2019"	"0"	"2"	"3"	9	"0"	"Customizable"	1	3	0	"Survival"	"BattleRoyale"	"Sandbox"	" "	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"HorizonZeroDawn"	2017	"2015-2019"	"0"	"1"	"3"	2	"Aloy"	"Aloy"	3	3	1	"Action"	"RPG"	" "	" "	1	1	2	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
365	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"Injustice2"	2017	"2015-2019"	"Injustice"	"3"	"3"	5	"0"	"Multiple"	3	4	0	"Fightinging"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
366	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"MaddenNFL18"	2017	"2015-2019"	"MaddenFootball"	"3"	"3"	2	"0"	"NFLPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
367	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"NBA2K18"	2017	"2015-2019"	"NBA2KBasketball"	"3"	"3"	8	"0"	"NBAPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"Nier:Automata"	2017	"2015-2019"	"Drakengard"	"3"	"3"	3	"YoRHaNo.2TypeB(2B)"	"YoRHaNo.2TypeB(2B)"	3	3	1	"RPG"	" "	" "	" "	1	0	0	3	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	9
369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"Persona5"	2017	"2015-2019"	"Persona"	"1"	"1"	2	"PersonaProtagonist"	"PersonaProtagonist"	3	3	1	"RPG"	"Simulation"	" "	" "	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	"Persona5Royal"	2017	"2015-2019"	"Persona"	"1"	"1"	1	"PersonaProtagonist"	"PersonaProtagonist"	3	3	1	"RPG"	"Simulation"	" "	" "	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
371	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"PlayerUnknown’sBattlegrounds"	2017	"2015-2019"	"0"	"2"	"3"	6	"0"	"Customizable"	1	1	0	"BattleRoyale"	" "	" "	" "	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"StarWarsBattlefrontII"	2017	"2015-2019"	"StarWarsBattlefront"	"3"	"3"	3	"Player"	"AnakinSkywalker"	3	5	1	"FirstPersonShooter"	"ThirdPersonShooter"	" "	" "	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
373	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	0	2	4	"SuperMarioOdyssey"	2017	"2015-2019"	"SuperMario"	"3"	"3"	1	"SuperMario"	"Mario"	3	3	1	"Platform"	"ActionAdventure"	" "	" "	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
374	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	4	5	"TheLegendofZelda:BreathoftheWild"	2017	"2015-2019"	"TheLegendofZelda"	"1"	"3"	2	"Link"	"Link"	3	3	1	"ActionAdventure"	" "	" "	" "	1	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
375	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	"TomClancy’sGhostrecon:Wildlands"	2017	"2015-2019"	"TomClancy's"	"3"	"3"	3	"Nomad"	"Customizable"	1	3	1	"ThirdPersonShooter"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
340	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"Battlefield1"	2016	"2015-2019"	"Battlefield"	"3"	"3"	1	"FrederickBishop"	"FrederickBishop"	3	1	1	"FirstPersonShooter"	" "	" "	" "	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
341	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"CallofDuty:InfiniteWarfare"	2016	"2015-2019"	"CallofDuty"	"3"	"3"	3	"NickReyes"	"NickReyes"	3	1	1	"FirstPersonShooter"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
342	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"DarkSoulsIII"	2016	"2015-2019"	"DarkSouls"	"3"	"3"	3	"AshenOne"	"Customizable"	1	3	1	"RPG"	"Action"	" "	" "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"FarCryPrimal"	2016	"2015-2019"	"FARCRY"	"1"	"3"	3	"Takkar"	"Takkar"	3	1	1	"ActionAdventure"	" "	" "	" "	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
344	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"FIFA17"	2016	"2015-2019"	"FIFA"	"3"	"3"	5	"AlexHunter"	"Multiple"	5	2	1	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
345	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"FinalFantasyXV"	2016	"2015-2019"	"FinalFantasy"	"1"	"3"	4	"NoctisLucisCaelum"	"NoctisLucisCaelum"	3	3	1	"Action"	"RPG"	" "	" "	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3
346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"InSide"	2016	"2015-2019"	"0"	"1"	"3"	5	"INSIDETheProtagonist"	"TheProtagonistINSIDE"	3	4	1	"Puzzle"	"Platform"	" "	" "	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	8
347	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"MaddenNFL17"	2016	"2015-2019"	"MaddenFootball"	"3"	"3"	4	"0"	"NFLPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	"NBA2K17"	2016	"2015-2019"	"NBA2KBasketball"	"3"	"3"	7	"0"	"NBAPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	0	2	4	"Overwatch"	2016	"2015-2019"	"0"	"2"	"3"	4	"0"	"Multiple"	2	1	0	"FirstPersonShooter"	" "	" "	" "	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
350	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"Pokemon:Moon"	2016	"2015-2019"	"Pokemon"	"3"	"1"	1	"Elio"	"Customizable"	1	5	1	"RPG"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"Pokemon:Sun"	2016	"2015-2019"	"Pokemon"	"3"	"1"	1	"Elio"	"Customizable"	1	5	1	"RPG"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"PokemonGo"	2016	"2015-2019"	"Pokemon"	"2"	"1"	2	"0"	"0"	0	0	0	"Pervasive"	" "	" "	" "	1	0	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"TheWitness"	2016	"2015-2019"	"TheWitness"	"1"	"3"	6	"UnnamedTheWitnessCharacter"	"UnnamedTheWitnessCharacter"	3	1	0	"Puzzle"	" "	" "	" "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	2	"Titanfall2"	2016	"2015-2019"	"Titanfall"	"3"	"3"	3	"JackCooper"	"JackCooper"	3	1	1	"FirstPersonShooter"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
355	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	"TomClancy'sTheDivision"	2016	"2015-2019"	"TomClancy's"	"2"	"3"	3	"0"	"Customizable"	2	3	1	"ActionAdventure"	"RPG"	"ThirdPersonShooter"	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
356	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"Uncharted4:AThief'sEnd"	2016	"2015-2019"	"Uncharted"	"1"	"3"	1	"Nathan\"Nate\"Drake"	"Nathan\"Nate\"Drake"	3	3	1	"ActionAdventure"	" "	" "	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
320	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"Batman:ArkhamKnight"	2015	"2015-2019"	"Batman:Arkham"	"1"	"3"	3	"Batman"	"Batman"	3	3	1	"ActionAdventure"	" "	" "	" "	1	1	1	2	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	14
321	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"BattlefieldHARDLINE"	2015	"2015-2019"	"Battlefield"	"3"	"3"	5	"Nicholas\"Nick\"Mendoza"	"Nicholas\"Nick\"Mendoza"	3	1	1	"FirstPersonShooter"	" "	" "	" "	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
322	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	3	"Bloodborne"	2015	"2015-2019"	"0"	"3"	"3"	1	"Hunter"	"Customizable"	1	3	1	"ActionAdventure"	"RPG"	" "	" "	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	10
323	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	"CallofDuty:BLACKOPSIII"	2015	"2015-2019"	"CallofDuty"	"3"	"3"	6	"0"	"Multiple"	3	1	1	"FirstPersonShooter"	" "	" "	" "	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
324	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"Destiny:THETAKENKING"	2015	"2015-2019"	"Destiny"	"2"	"3"	4	"Guardians"	"Guardians"	2	3	1	"FirstPersonShooter"	"RPG"	"Action"	" "	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
325	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"DyingLight"	2015	"2015-2019"	"DyingLight"	"3"	"3"	5	"KyleCrane"	"KyleCrane"	3	1	1	"ActionAdventure"	"Survival"	"Horror"	" "	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	12
326	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"Fallout4"	2015	"2015-2019"	"Fallout"	"1"	"3"	3	"SoleSurvivor"	"SoleSurvivor"	1	1	1	"Action"	"RPG"	" "	" "	1	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3
327	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"FIFA16"	2015	"2015-2019"	"FIFA"	"3"	"3"	7	"0"	"Footballplayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"HALO5:GUARDIANS"	2015	"2015-2019"	"Halo"	"3"	"3"	1	"John-117MasterChief"	"JamesonLocke"	3	1	1	"FirstPersonShooter"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"LegoJurassicWorld"	2015	"2015-2019"	"JurassicPark"	"3"	"3"	11	"0"	"Multiple"	3	3	1	"ActionAdventure"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	"MADDENNFL16"	2015	"2015-2019"	"MaddenFootball"	"3"	"3"	4	"0"	"NFLPlayers"	5	2	0	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2	3	"MetalGearSolidV:ThePhantomPain"	2015	"2015-2019"	"MetalGearSolid"	"3"	"3"	5	"Venom Snake"	"VenomSnake"	3	3	1	"ActionAdventure"	"stealth"	" "	" "	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
